"2018 Rank","City","State","2018 Estimate","2010 Census","Change","2016 Land Area (sq mi)","2016 Land Area (km^2)","2016 Population Density (/sq mi)","2016 Population Density (/km^2)","Location"
"1","New York City","New York","8,398,748","8,175,133","+2.74%","301.5","780.9","28,317","10,933","40°39′49″N 73°56′19″W"
"2","Los Angeles","California","3,990,456","3,792,621","+5.22%","468.7","1,213.9","8,484","3,276","34°01′10″N 118°24′39″W"
"3","Chicago","Illinois","2,705,994","2,695,598","+0.39%","227.3","588.7","11,900","4,600","41°50′15″N 87°40′54″W"
"4","Houston","Texas","2,325,502","2,100,263","+10.72%","637.5","1,651.1","3,613","1,395","29°47′12″N 95°23′27″W"
"5","Phoenix","Arizona","1,660,272","1,445,632","+14.85%","517.6","1,340.6","3,120","1,200","33°34′20″N 112°05′24″W"
"6","Philadelphia","Pennsylvania","1,584,138","1,526,006","+3.81%","134.2","347.6","11,683","4,511","40°00′34″N 75°08′00″W"
"7","San Antonio","Texas","1,532,233","1,327,407","+15.43%","461.0","1,194.0","3,238","1,250","29°28′21″N 98°31′30″W"
"8","San Diego","California","1,425,976","1,307,402","+9.07%","325.2","842.3","4,325","1,670","32°48′55″N 117°08′06″W"
"9","Dallas","Texas","1,345,047","1,197,816","+12.29%","340.9","882.9","3,866","1,493","32°47′36″N 96°45′59″W"
"10","San Jose","California","1,030,119","945,942","+8.90%","177.5","459.7","5,777","2,231","37°17′48″N 121°49′08″W"
"11","Austin","Texas","964,254","790,390","+22.00%","312.7","809.9","3,031","1,170","30°18′14″N 97°45′16″W"
"12","Jacksonville","Florida","903,889","821,784","+9.99%","747.4","1,935.8","1,178","455","30°20′13″N 81°39′42″W"
"13","Fort Worth","Texas","895,008","741,206","+20.75%","342.9","888.1","2,491","962","32°46′53″N 97°20′48″W"
"14","Columbus","Ohio","892,533","787,033","+13.40%","218.5","565.9","3,936","1,520","39°59′07″N 82°59′05″W"
"15","San Francisco","California","883,305","805,235","+9.70%","46.9","121.5","18,569","7,170","37°43′38″N 123°01′56″W"
"16","Charlotte","North Carolina","872,498","731,424","+19.29%","305.4","791.0","2,757","1,064","35°12′28″N 80°49′52″W"
"17","Indianapolis","Indiana","867,125","820,445","+5.69%","361.5","936.3","2,366","914","39°46′36″N 86°08′45″W"
"18","Seattle","Washington","744,955","608,660","+22.39%","83.8","217.0","8,405","3,245","47°37′14″N 122°21′03″W"
"19","Denver","Colorado","716,492","600,158","+19.38%","153.3","397.0","4,521","1,746","39°45′43″N 104°52′52″W"
"20","Washington, D.C.","District of Columbia","702,455","601,723","+16.74%","61.1","158.2","11,148","4,304","38°54′15″N 77°01′02″W"
